Show ID	Artist	Supporting Artist	Show Date	Doors Time	Start Time	Venue Name	Venue Address	Venue Event URL	Seat Type	VIP	Group	Ticket Access	Setlist.fm URL	Status	Artist Interaction	Playlist URL	Notes / Memories	Photo URL
2026-01-11	Ana Popović		2026-01-11	12:00 PM	1:00 PM	Rams Head On Stage	33 West St, Annapolis, MD 21401	https://www.ramsheadonstage.com/events/	Seated			AXS Mobile app	https://www.setlist.fm/setlist/ana-popovi/2026/rams-head-on-stage-annapolis-md-434f67bf.html	attended	Autograph	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKxh-vqodYy5l2HAY-Cg3je	Dance To The Rhythm Tour; matinee	-
2026-01-31	Kingsley Flood	Hannah Honeycutt	2026-01-31	7:00 PM	8:00 PM	Jammin' Java	227 Maple Ave E, Vienna, VA 22180	https://www.unionstagepresents.com/jammin-java/shows	GA			Opendate	MULTI:2026-01-31	attended	-	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGI-9qRYp7ISf4w3k3V5E0on	-	-
2026-02-14	Vanessa Collier		2026-02-14	7:00 PM	8:00 PM	Rams Head On Stage	33 West St, Annapolis, MD 21401	https://www.ramsheadonstage.com/events/	Seated			AXS Mobile app	https://www.setlist.fm/setlist/vanessa-collier/2026/rams-head-on-stage-annapolis-md-734bdaad.html	attended	Autograph	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGKQ2CFf3oqeisdJqbfkRiEn	Jennifer and Lary at table	-
2026-02-19	Mohini Dey		2026-02-19	5:00 PM	7:30 PM	The Birchmere	3701 Mount Vernon Ave, Alexandria, VA 22305	https://www.birchmere.com/events/	GA			Ticketmaster app	https://www.setlist.fm/setlist/mohini-dey/2026/the-birchmere-alexandria-va-434b4777.html	attended	Photo	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGIrBfrFMqc2hflHRYxRUeEr	Hat autograph: Mohini Dey.	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipMdYUYotEb2HRWudzfqTwrM_ONnc5n50E41n2Qo?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn
2026-02-21	Matteo Mancuso		2026-02-21	6:30 PM	8:00 PM	Hamilton Live	600 14th St NW, Washington, DC 20005	https://live.thehamiltondc.com/calendar/	GA			See Tickets / mobile barcode	https://www.setlist.fm/setlist/matteo-mancuso/2026/the-hamilton-live-washington-dc-6b4bdaa2.html	attended	Photo	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGLOY4QvTfNsXWVLCZ2_T4xt	Route96 Tour	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipPGHyM3bJucxu2ninCAvKnlOIjE5ctHT6RqQgan?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn
2026-02-23	Billy Gibbons		2026-02-23	5:00 PM	7:30 PM	The Birchmere	3701 Mount Vernon Ave, Alexandria, VA 22305	https://www.birchmere.com/events/	Seated	Y		Ticketmaster app	https://www.setlist.fm/setlist/billy-gibbons-and-the-bfgs/2026/the-birchmere-alexandria-va-1b4f3574.html	attended	Photo	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGJUiDOYiGCbP2dTVU7sEd7h	Birthday; Meet & Greet VIP Experience + standard ticket	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNmNG-4Njpyepxhh92wwYfMiI9KKvaEameWgzxC?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn
2026-03-07	Albert Castiglia		2026-03-07	12:00 PM	1:00 PM	Rams Head On Stage	33 West St, Annapolis, MD 21401	https://www.ramsheadonstage.com/events/	Seated			AXS Mobile app	https://www.setlist.fm/setlist/albert-castiglia/2026/rams-head-on-stage-annapolis-md-b4865a2.html	attended	Photo	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGL-ciW4iOu0X5M1AcpEsnNm	Matinee; with Lary; ticket bartered with friend	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOio_dAUeh915f7lkTME7sOe5eLnNp7WmlxPCbY?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn
2026-03-11	Sue Foley	Scott Tournet	2026-03-11	6:30 PM	8:00 PM	Hamilton Live	600 14th St NW, Washington, DC 20005	https://live.thehamiltondc.com/calendar/	GA			See Tickets / mobile barcode	MULTI:2026-03-11	attended	Photo	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK1QRya3q0fMDdldwavQMOv	-	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipNoeU1kedn90tmktx6Ds7_QyBosXNVd7jIYqFrr?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn
2026-03-18	Taj Farrant		2026-03-18	7:00 PM	8:00 PM	Rams Head On Stage	33 West St, Annapolis, MD 21401	https://www.ramsheadonstage.com/events/detail/1191729	Seated			AXS Mobile app	https://www.setlist.fm/setlist/taj-farrant/2026/rams-head-on-stage-annapolis-md-5b49e780.html	attended	Autograph	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGITbEz4XzY8rKKsccjbhrNs	M&G add-on. RHBS autograph: Taj Farrant (sent backstage with his dad/manager).	-
2026-03-20	Danielle Nicole	Brody Buster	2026-03-20	6:30 PM	8:00 PM	Hamilton Live	600 14th St NW, Washington, DC 20005	https://wl.eventim.us/event/danielle-nicole/672417	GA			See Tickets / mobile barcode	MULTI:2026-03-20	attended	Both	https://www.youtube.com/playlist?list=PLJ7S-K0cjvGK3qhHKzR5rVBeqtngvi8bL	Arrived just before 6, 12th in line. Walked in with Bob Lubbehusen and Ed Warburton -- they saved a seat. She played one song using an all-white right-handed bass with an embedded working neon tube that had been built for Dusty Hill of ZZ Top.	https://photos.google.com/share/AF1QipNwu1KEAQX-fJ_ma6C1TQ3T-MPdYb7eTx1wV00haRe585P7y25_vSDFruIsMhFpHA/photo/AF1QipOtrte7inCSux4IimPmmnQFr_aQjYEZmh1h3CYa?key=cWhvRnlpQXdoaG52aTFwTjQ5LUNGMFBTeGk3Z2Zn
